source_file	source_line	wc1_address	wc2_address	source_name	mapping_name	evidence	review_flags	status
src/debug.cpp	433	0041D040	0045B722	DebugOverlayConsole::SetTransparentBackground	DebugOverlayConsole::SetTransparentBackground	WC1-callgraph-propagated		mapped
src/debug.cpp	448	0041D080		DebugOverlayConsole::SetOpaqueBackground				unmapped
src/dib.c	10	00432050	0045CE9A	ReportSpaceFlightMaxFps	ReportSpaceFlightMaxFps	WC1-fuzzy-medium		mapped
src/dib.c	26	004320E0	0045CF7F	SetSpaceFlightFrameTiming	SetSpaceFlightFrameTiming	WC1-manual-verified		mapped
src/dib.c	34	00432110	0045CFC3	SetCinematicFrameTiming	SetCinematicFrameTiming	WC1-manual-verified		mapped
src/dib.c	42	00432140	0045D004	DIBerror	DIBerror	WC1-fuzzy-high		mapped
src/dib.c	75	00432230	0045D11F	DIBpositionWindow	DIBpositionWindow	WC1-fuzzy-medium		mapped
src/dib.c	92	004322B0	0045D1BB	DIBreInstall	DIBreInstall	WC1-fuzzy-followup		mapped
src/dib.c	114	00432310	0045D23B	DIBinstall	DIBinstall	WC1-fuzzy-followup		mapped
src/dib.c	165	00432410	0045D3A1	DIBcascade	DIBcascade	WC1-fuzzy-followup		mapped
src/dib.c	297	00432680	0045D78C	DIBunInstall	DIBunInstall	WC1-manual-verified		mapped
src/dib.c	314	004326E0	0045D80F	DIBmakeDIB	DIBmakeDIB	WC1-fuzzy-followup		mapped
src/dib.c	387	004328A0	0045DA8C	DIBdestroyDIB	DIBdestroyDIB	WC1-fuzzy-followup		mapped
src/dib.c	427	00432960	0045DC19	DIBslam	DIBslam	WC1-manual-verified		mapped
src/dib.c	433	00432970	0045DC33	DIBslamReal	DIBslamReal	WC1-fuzzy-followup		mapped
src/dib.c	602	00432C60	0045E060	DIBupdate	DIBupdate	WC1-fuzzy-followup		mapped
src/dib.c	668	00432DE0	0045E276	GetDIBPixelBuffer	HelperOf4326E0A	WC1-callgraph-propagated		mapped
